filename,UIQM,UCIQE
100_img_.png,0.0016038367757573724,0.3103219270706177
10139.png,0.001435956684872508,0.26595479249954224
10151.png,0.00272604962810874,0.35131019353866577
101_img_.png,0.0018771984614431858,0.3235033452510834
102_img_.png,0.0017096817027777433,0.46367108821868896
104_img_.png,0.0006892394158057868,0.34437301754951477
105_img_.png,0.0022080419585108757,0.40183764696121216
106_img_.png,0.00958782434463501,0.3743935227394104
107_img_.png,0.00177931715734303,0.4155837893486023
108_img_.png,0.0007572489557787776,0.27298155426979065
10909.png,0.0020244456827640533,0.3041054308414459
10945.png,0.0011621976736932993,0.24223746359348297
109_img_.png,0.00038929423317313194,0.34180396795272827
10_img_.png,0.00036121607990935445,0.3991052210330963
11052.png,0.0036165686324238777,0.3655520975589752
11064.png,0.0036121709272265434,0.39040106534957886
111_img_.png,0.002586635760962963,0.4083896279335022
112_img_.png,0.0002580749860499054,0.1899171769618988
11374.png,0.002090935595333576,0.2978086471557617
11398.png,0.0027208239771425724,0.3823418617248535
113_img_.png,0.000931419082917273,0.43176785111427307
114_img_.png,0.0018916262779384851,0.43524879217147827
115_img_.png,0.0007545053376816213,0.5960553884506226
116_img_.png,0.0009189760312438011,0.3311919867992401
117_img_.png,0.0020964699797332287,0.21195058524608612
118_img_.png,0.0016263164579868317,0.21027785539627075
11_img_.png,0.0014513612259179354,0.4313957989215851
120_img_.png,0.0013699701521545649,0.2034653127193451
121_img_.png,0.0014447261346504092,0.5467232465744019
1225.png,0.0015559311723336577,0.4144362211227417
12290.png,0.0005002541001886129,0.38924288749694824
12299.png,0.0006589965196326375,0.32049059867858887
122_img_.png,0.0014064621645957232,0.19158561527729034
12324.png,0.0007352199754677713,0.4392603933811188
12336.png,0.0006845565512776375,0.24944299459457397
12348.png,0.0005439830711111426,0.29718899726867676
123_img_.png,0.0017996683018282056,0.1800246238708496
12422.png,0.000669413770083338,0.2808627486228943
12433.png,0.0006057858699932694,0.3292304575443268
12445.png,0.0007827657973393798,0.3154936134815216
124_img_.png,0.0015673968009650707,0.21280890703201294
125_img_.png,0.0019687595777213573,0.18667206168174744
12900.png,0.0007028849795460701,0.3114725947380066
129_img_.png,0.0007365514757111669,0.3283535838127136
130_img_.png,0.001732713426463306,0.20150098204612732
