index,filename,width,height,mse,psnr,error
92,164_img_.png,640,480,2017.3656005859375,15.082958221435547,
93,165_img_.png,640,480,1529.46337890625,16.285411834716797,
94,1660.png,1280,720,6466.94580078125,10.023811340332031,
95,166_img_.png,640,480,1987.5772705078125,15.147563934326172,
96,168_img_.png,1280,803,6424.70361328125,10.05227279663086,
97,169_img_.png,1067,800,3053.516357421875,13.282800674438477,
98,16_img_.png,640,480,832.0758666992188,18.929174423217773,
99,170_img_.png,640,480,1448.3836669921875,16.5219669342041,
100,171_img_.png,640,480,1083.323974609375,17.783222198486328,
101,172_img_.png,1000,750,2517.74072265625,14.120694160461426,
102,173_img_.png,1024,681,658.483642578125,19.945354461669922,
103,1742.png,1280,720,518.8697509765625,20.980220794677734,
104,174_img_.png,640,480,2222.3369140625,14.662705421447754,
105,175_img_.png,640,480,1277.739501953125,17.066381454467773,
106,176_img_.png,600,400,719.0447998046875,19.563243865966797,
107,177_img_.png,800,604,967.7221069335938,18.273296356201172,
108,178_img_.png,640,480,2178.374755859375,14.749478340148926,
109,179_img_.png,640,480,458.5724792480469,21.5167236328125,
110,17_img_.png,600,400,709.0115356445312,19.624271392822266,
111,180_img_.png,640,480,1129.843017578125,17.600622177124023,
112,182_img_.png,800,1150,770.691650390625,19.26199722290039,
113,183_img_.png,640,480,1889.4761962890625,15.367389678955078,
114,184_img_.png,1200,786,1400.8511962890625,16.666885375976562,
115,185_img_.png,640,480,1061.098388671875,17.873247146606445,
116,186_img_.png,1200,771,324.610107421875,23.01718521118164,
117,187_img_.png,640,480,1781.5833740234375,15.62274169921875,
118,188_img_.png,640,480,468.62738037109375,21.422527313232422,
119,189_img_.png,1280,720,5339.365234375,10.855907440185547,
120,18_img_.png,791,537,7472.72802734375,9.396012306213379,
121,190_img_.png,640,480,1266.20556640625,17.105762481689453,
122,191_img_.png,640,480,2074.8798828125,14.960874557495117,
123,192_img_.png,640,480,1168.6209716796875,17.454069137573242,
124,193_img_.png,531,417,362.70111083984375,22.535316467285156,
125,194_img_.png,640,480,435.1244812011719,21.74466896057129,
126,1957.png,1280,720,1844.8118896484375,15.471282958984375,
127,195_img_.png,640,480,2002.187744140625,15.11575698852539,
128,196_img_.png,640,480,457.8075256347656,21.52397346496582,
129,197_img_.png,500,332,631.2062377929688,20.129091262817383,
130,198_img_.png,640,480,684.6824340820312,19.77591323852539,
131,199_img_.png,640,480,920.3651123046875,18.49120330810547,
132,19_img_.png,1024,682,1739.8458251953125,15.725696563720703,
133,20.png,1280,720,770.4125366210938,19.26357078552246,
134,200_img_.png,550,308,1001.4898681640625,18.124338150024414,
135,201_img_.png,640,480,172.24594116210938,25.76931381225586,
136,202_img_.png,550,412,3137.308837890625,13.165230751037598,
137,203_img_.png,839,1230,2.4295389652252197,44.27556610107422,
138,204_img_.png,553,393,4575.38671875,11.52652645111084,
139,205_img_.png,640,480,2367.8974609375,14.387174606323242,
140,206_img_.png,640,480,731.3401489257812,19.48961067199707,
141,207_img_.png,640,480,290.15789794921875,23.504459381103516,
142,208_img_.png,850,564,1974.284423828125,15.17670726776123,
143,209_img_.png,640,480,1110.079345703125,17.677263259887695,
144,210_img_.png,640,480,871.0520629882812,18.730361938476562,
145,211_img_.png,640,480,637.2811279296875,20.087491989135742,
146,212_img_.png,640,480,851.8497314453125,18.827173233032227,
147,213_img_.png,640,480,2714.996826171875,13.793110847473145,
148,214_img_.png,640,480,2356.68505859375,14.407788276672363,
149,215_img_.png,640,480,1847.0457763671875,15.46602725982666,
150,216_img_.png,640,480,1542.3677978515625,16.248924255371094,
151,217_img_.png,640,480,2335.985107421875,14.446102142333984,
152,219_img_.png,640,480,1091.3804931640625,17.75104331970215,
153,220_img_.png,640,480,1371.805419921875,16.75787925720215,
154,221_img_.png,640,480,1101.43505859375,17.71121597290039,
